,Product Position,Promotion,Sales Volume,Name,Price,Terms,Section,Season,Material,Origin,revenue
10445,Front of Store,True,1362,RIBBED PRINTED DENIM OVERSHIRT STONE,1362.0,sweaters,WOMAN,Autumn,Wool,Portugal,1855044.0
10446,End-cap,True,800,KNIT PADDED BOMBER JACKET,800.0,jackets,WOMAN,Winter,Polyester,Turkey,640000.0
10447,Aisle,True,952,OVERSIZED MULTICOLOR SNEAKERS BURGUNDY,952.0,jackets,WOMAN,Winter,Wool Blend,Morocco,906304.0
10448,Aisle,True,882,LINEN OVERSHIRT BLACK,882.0,jackets,WOMAN,Summer,Cotton,Pakistan,777924.0
10449,End-cap,True,1387,KNIT TOPSTITCH SNEAKERS OLIVE #3,1387.0,jackets,MAN,Winter,Wool,China,1923769.0
10450,Front of Store,True,1470,CONTRASTING COLLAR JACKET,1470.0,jackets,MAN,Winter,Wool,Brazil,2160900.0
10451,End-cap,True,1725,CROPPED LEATHER JACKET STONE,1725.0,sweaters,WOMAN,Winter,Acrylic,China,2975625.0
10452,Aisle,True,1556,JACQUARD DENIM JACKET BROWN,1556.0,t-shirts,WOMAN,Winter,Cotton,Spain,2421136.0
10453,End-cap,True,1395,PLEATED METAL BEAD KNIT SWEATER BURGUNDY,1395.0,jackets,WOMAN,Autumn,Wool,Turkey,1946025.0
10454,Aisle,True,1343,UTILITY OVERSHIRT WITH CONTRASTING TOPSTITCHING KHAKI,1343.0,jeans,WOMAN,Spring,Linen,Morocco,1803649.0
10455,Aisle,True,1526,KNIT POCKET DENIM JACKET,1526.0,jackets,MAN,Winter,Wool Blend,China,2328676.0
10456,Front of Store,True,732,TEXTURED POCKET JACKET #3,732.0,t-shirts,MAN,Spring,Denim,Brazil,535824.0
10457,Front of Store,True,1381,KNIT MIXED COLLAR WAXED JACKET WHITE,1381.0,sweaters,MAN,Autumn,Acrylic,Vietnam,1907161.0
10458,End-cap,True,886,SATIN 100% FEATHER FILL PUFFER JACKET NAVY,886.0,jackets,MAN,Winter,Wool Blend,Spain,784996.0
10459,Aisle,True,1453,STRUCTURED CROPPED TEXTURED JACKET BEIGE,1453.0,jackets,WOMAN,Autumn,Denim,India,2111209.0
10460,Aisle,True,1737,PLEATED PUFFER JACKET WITH POUCH POCKET CHARCOAL,1737.0,sweaters,WOMAN,Winter,Wool Blend,Vietnam,3017169.0
10461,Aisle,True,1537,PLAID OVERSHIRT CHARCOAL,1537.0,t-shirts,WOMAN,Winter,Viscose,Vietnam,2362369.0
10462,Aisle,True,907,TEXTURED ABSTRACT PRINT T-SHIRT SAND,907.0,t-shirts,WOMAN,Spring,Linen,Pakistan,822649.0
10463,Aisle,True,700,DOUBLE-BREASTED FAUX FUR JEWEL SWEATER KHAKI,700.0,jackets,MAN,Autumn,Acrylic,Spain,490000.0
10464,Aisle,True,1345,KNIT PRINTED CROPPED FIT SHIRT LIMITED EDITION BLACK,1345.0,sweaters,MAN,Autumn,Wool Blend,Turkey,1809025.0
10465,Front of Store,True,1223,EMBROIDERED FOREST JACKET SKY BLUE,1223.0,jackets,MAN,Spring,Viscose,China,1495729.0
10466,End-cap,True,1098,WASHED EFFECT BOMBER JACKET BEIGE,1098.0,jackets,MAN,Autumn,Wool Blend,Bangladesh,1205604.0
10467,Aisle,True,1091,OVERSHIRT STONE,1091.0,jackets,MAN,Spring,Linen,Bangladesh,1190281.0
10468,End-cap,True,863,PLEATED FAUX SUEDE PATCH JACKET OLIVE,863.0,sweaters,WOMAN,Autumn,Polyester,India,744769.0
10469,Front of Store,True,773,STRUCTURED TASSEL LEATHER LOAFERS STONE,773.0,sweaters,WOMAN,Spring,Linen,Brazil,597529.0
10470,Front of Store,True,1174,LINEN HERRINGBONE TEXTURED JACKET GREY,1174.0,jackets,MAN,Spring,Linen,China,1378276.0
10471,End-cap,True,751,TEXTURED JACKET SAND,751.0,jeans,MAN,Winter,Acrylic,Turkey,564001.0
10472,End-cap,True,1580,SATIN BOUCLE TEXTURED VEST BROWN,1580.0,jeans,WOMAN,Autumn,Wool,Bangladesh,2496400.0
10473,Aisle,True,1395,DOUBLE-BREASTED WASHED EFFECT BOMBER JACKET BLACK,1395.0,shoes,WOMAN,Autumn,Viscose,Morocco,1946025.0
10474,Aisle,True,937,DOUBLE-BREASTED TEXTURED DENIM JACKET LIMITED EDITION CHARCOAL,937.0,jeans,WOMAN,Spring,Cotton,Vietnam,877969.0
10475,End-cap,True,930,FAUX SUEDE OVERSHIRT GREY,930.0,t-shirts,WOMAN,Winter,Wool,Spain,864900.0
10476,End-cap,True,934,LINEN KNIT SWEATER WITH BUTTONS OLIVE,934.0,sweaters,WOMAN,Summer,Cotton,China,872356.0
10477,End-cap,True,1424,OVERSIZED POCKET PUFFER JACKET KHAKI,1424.0,jackets,WOMAN,Winter,Wool,Morocco,2027776.0
10478,Aisle,True,738,TAILORED STRAP SANDALS BROWN,738.0,jackets,MAN,Spring,Wool Blend,Portugal,544644.0
10479,Aisle,True,1311,OVERSIZED BAGGY FIT JEANS LIMITED EDITION BEIGE,1311.0,shoes,WOMAN,Autumn,Wool Blend,Bangladesh,1718721.0
10480,End-cap,True,844,BELTED COLORBLOCK KNIT CROP SWEATER KHAKI,844.0,jackets,WOMAN,Winter,Wool Blend,Argentina,712336.0
10481,Front of Store,True,669,STRETCH TEXTURED POCKET JACKET SAND,669.0,sweaters,MAN,Spring,Polyester,Bangladesh,447561.0
10482,Aisle,True,1365,BELTED RETRO RUNNING SNEAKERS BEIGE,1365.0,jackets,MAN,Spring,Wool Blend,Turkey,1863225.0
10483,Aisle,True,1530,RIBBED FAUX LEATHER BOMBER JACKET TAUPE,1530.0,jackets,WOMAN,Spring,Linen,Brazil,2340900.0
10484,Aisle,True,754,QUILTED STRUCTURED TWILL OVERSHIRT BEIGE,754.0,sweaters,WOMAN,Spring,Linen,Morocco,568516.0
10485,End-cap,True,1574,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION CHARCOAL,1574.0,jackets,MAN,Winter,Wool,China,2477476.0
10486,Aisle,True,971,SATIN ALPACA AND WOOL BLEND TIE DYE KNIT SWEATER STONE,971.0,jackets,WOMAN,Autumn,Wool,Bangladesh,942841.0
10487,Front of Store,True,873,QUILTED UTILITY POCKET JACKET KHAKI,873.0,shoes,WOMAN,Autumn,Acrylic,Portugal,762129.0
10488,Aisle,True,1055,HOUNDSTOOTH SUIT JACKET SKY BLUE,1055.0,jackets,WOMAN,Winter,Wool Blend,Portugal,1113025.0
10489,Front of Store,True,830,SATIN SUEDE JACKET CHARCOAL,830.0,sweaters,WOMAN,Autumn,Polyester,Turkey,688900.0
10490,Aisle,True,1465,CROPPED VINTAGE EFFECT LEATHER BOMBER JACKET BROWN,1465.0,jackets,WOMAN,Autumn,Polyester,Brazil,2146225.0
10491,End-cap,True,994,EMBROIDERED 100% WOOL SUIT JACKET SKY BLUE,994.0,jackets,WOMAN,Autumn,Wool Blend,Vietnam,988036.0
10492,Aisle,True,792,SATIN KNIT V-NECK SWEATER STONE,792.0,t-shirts,MAN,Autumn,Wool Blend,Pakistan,627264.0
10493,Aisle,True,1304,RELAXED BASIC KNIT SWEATER SAND,1304.0,jackets,WOMAN,Spring,Linen Blend,China,1700416.0
10494,Aisle,True,909,RIBBED CONTRAST TOPSTITCHING CROP KNIT SWEATER WHITE,909.0,sweaters,WOMAN,Autumn,Acrylic,Portugal,826281.0
10495,Aisle,True,782,REGULAR LONGLINE QUILTED JACKET BROWN,782.0,t-shirts,WOMAN,Autumn,Cotton,China,611524.0
10496,Aisle,True,1257,RIBBED MOC-TOE SUEDE BOOTS GREY,1257.0,jackets,WOMAN,Autumn,Wool,India,1580049.0
10497,End-cap,True,718,RAISED TEXT T-SHIRT LIMITED EDITION SKY BLUE,718.0,jackets,MAN,Spring,Linen Blend,India,515524.0
10498,End-cap,True,1362,STRETCH DENIM BOMBER JACKET OLIVE,1362.0,shoes,WOMAN,Autumn,Wool,Brazil,1855044.0
10499,End-cap,True,792,TAILORED PADDED BOMBER JACKET TAUPE,792.0,jackets,MAN,Autumn,Wool Blend,Turkey,627264.0
10500,Front of Store,True,1330,FAUX SUEDE PATCH JACKET,1330.0,sweaters,WOMAN,Spring,Cotton,Bangladesh,1768900.0
10501,End-cap,True,930,HIGH-WAIST RIPPED DENIM JACKET,930.0,jackets,WOMAN,Autumn,Polyester,India,864900.0
10502,Aisle,True,1650,RIBBED 100% FEATHER FILL PUFFER JACKET SKY BLUE,1650.0,jackets,WOMAN,Winter,Acrylic,Morocco,2722500.0
10503,Front of Store,True,774,PLEATED FINE KNIT CROP SWEATER KHAKI,774.0,jackets,WOMAN,Autumn,Wool,India,599076.0
10504,End-cap,True,969,QUILTED DENIM BOMBER JACKET KHAKI,969.0,sweaters,MAN,Summer,Denim,Bangladesh,938961.0
10505,End-cap,True,1514,RELAXED KNIT OPEN BACK PEARLY SWEATER,1514.0,jackets,WOMAN,Autumn,Polyester,Portugal,2292196.0
10506,Front of Store,True,1308,UTILITY TECHNICAL JACKET WITH POCKETS KHAKI,1308.0,sweaters,WOMAN,Autumn,Polyester,Vietnam,1710864.0
10507,End-cap,True,973,QUILTED TEXTURED SWEATER KHAKI,973.0,jackets,WOMAN,Winter,Wool,Bangladesh,946729.0
10508,Aisle,True,1337,STRUCTURED POCKET DENIM JACKET SAND,1337.0,jackets,MAN,Autumn,Denim,Bangladesh,1787569.0
10509,Aisle,True,839,OVERSIZED CROPPED LEATHER JACKET NAVY,839.0,t-shirts,MAN,Autumn,Wool Blend,Brazil,703921.0
10510,Aisle,True,804,DOUBLE-BREASTED POCKET DENIM JACKET KHAKI,804.0,jackets,MAN,Spring,Linen,Spain,646416.0
10511,Front of Store,True,976,WOOL BLEND SUIT JACKET BLACK,976.0,shoes,MAN,Winter,Wool,China,952576.0
10512,End-cap,True,1324,DOUBLE-BREASTED FLARED FIT CARGO JEANS,1324.0,t-shirts,WOMAN,Spring,Cotton,Turkey,1752976.0
10513,Front of Store,True,951,LINEN DOUBLE FACED JACKET OLIVE,951.0,t-shirts,WOMAN,Summer,Linen,Turkey,904401.0
10514,Aisle,True,947,PLAID OVERSHIRT #3,947.0,jackets,MAN,Winter,Wool,Spain,896809.0
10515,Aisle,True,1276,EMBROIDERED CROPPED TEXTURED JACKET STONE,1276.0,jackets,MAN,Spring,Wool Blend,Portugal,1628176.0
10516,Aisle,True,941,LINEN FAUX LEATHER OVERSIZED JACKET LIMITED EDITION BROWN,941.0,t-shirts,WOMAN,Spring,Linen Blend,Bangladesh,885481.0
10517,Aisle,True,1360,SLIM POCKET DENIM JACKET,1360.0,jackets,MAN,Winter,Wool Blend,China,1849600.0
10518,Front of Store,True,1536,TAILORED FAUX LEATHER BOXY FIT JACKET KHAKI,1536.0,jackets,MAN,Winter,Wool,Turkey,2359296.0
10519,End-cap,True,1401,REGULAR CROPPED TEXTURED JACKET TAUPE,1401.0,jackets,WOMAN,Autumn,Wool,China,1962801.0
10520,Aisle,True,783,QUILTED RAISED TEXT T-SHIRT LIMITED EDITION BEIGE,783.0,jackets,MAN,Spring,Linen Blend,Morocco,613089.0
10521,Aisle,True,744,MOC-TOE SUEDE BOOTS TAUPE,744.0,jackets,WOMAN,Spring,Viscose,Pakistan,553536.0
10522,End-cap,True,1248,LINEN BOMBER JACKET WHITE,1248.0,jackets,MAN,Summer,Cotton,China,1557504.0
10523,Aisle,True,1563,STRUCTURED PRINTED CROPPED FIT SHIRT LIMITED EDITION BURGUNDY,1563.0,sweaters,WOMAN,Winter,Wool,Bangladesh,2442969.0
10524,Aisle,True,891,BELTED COLORBLOCK KNIT CROP SWEATER,891.0,jackets,WOMAN,Winter,Wool Blend,India,793881.0
10525,Front of Store,True,1182,RELAXED CHUNKY SOLE HIGH TOP SNEAKERS GREY,1182.0,jackets,MAN,Autumn,Viscose,China,1397124.0
10526,Front of Store,True,1173,RIBBED FAUX SUEDE OVERSHIRT ECRU,1173.0,jackets,WOMAN,Spring,Cotton,Bangladesh,1375929.0
10527,Front of Store,True,1117,EMBROIDERED WOOL BLEND JACKET IVORY,1117.0,shoes,MAN,Winter,Wool Blend,India,1247689.0
10528,Front of Store,True,1043,UTILITY CROPPED TEXTURED JACKET SAND,1043.0,jackets,WOMAN,Winter,Wool Blend,China,1087849.0
10529,Front of Store,True,750,RELAXED BASIC PUFFER JACKET GREY,750.0,jackets,WOMAN,Autumn,Acrylic,Bangladesh,562500.0
10530,Aisle,True,1558,STRETCH RIB COLLAR JACKET,1558.0,jackets,WOMAN,Autumn,Polyester,China,2427364.0
10531,Front of Store,True,826,LINEN LONGLINE QUILTED JACKET GREY,826.0,jackets,MAN,Summer,Cotton,Turkey,682276.0
10532,Front of Store,True,1057,WOOL BLEND KNIT SWEATER ECRU,1057.0,sweaters,WOMAN,Winter,Wool,China,1117249.0
10533,Front of Store,True,952,WOOL BLEND SUIT JACKET KHAKI,952.0,sweaters,WOMAN,Winter,Wool Blend,Bangladesh,906304.0
10534,Aisle,True,888,UTILITY HEART PRINT T-SHIRT CHARCOAL,888.0,jackets,WOMAN,Spring,Linen,Bangladesh,788544.0
10535,Aisle,True,944,STRETCH TASSEL LEATHER LOAFERS TAUPE,944.0,jackets,MAN,Winter,Acrylic,Bangladesh,891136.0
10536,End-cap,True,817,UTILITY CHUNKY SNEAKERS IVORY,817.0,t-shirts,MAN,Autumn,Polyester,Bangladesh,667489.0
10537,End-cap,True,830,CONTRAST SOLE LEATHER SNEAKERS OLIVE,830.0,jackets,WOMAN,Autumn,Polyester,China,688900.0
10538,End-cap,True,1159,TEXTURED STRETCH SUIT JACKET TAUPE,1159.0,shoes,MAN,Spring,Cotton,India,1343281.0
10539,End-cap,True,1316,SUEDE HIGH-TOPS GREY,1316.0,shoes,MAN,Spring,Cotton,Bangladesh,1731856.0
10540,Aisle,True,912,DOUBLE-BREASTED STRETCH SUIT JACKET ECRU,912.0,jackets,MAN,Autumn,Wool Blend,Bangladesh,831744.0
10541,Aisle,True,918,EMBROIDERED LEATHER BIKER JACKET SAND,918.0,t-shirts,WOMAN,Summer,Cotton,Spain,842724.0
10542,Aisle,True,682,SLIM OVERSIZED CROPPED JACKET LIMITED EDITION SKY BLUE,682.0,jackets,MAN,Autumn,Cotton,India,465124.0
10543,Front of Store,True,1580,ASYMMETRICAL WOOL AND SILK BLEND SWEATER BLACK,1580.0,jackets,WOMAN,Winter,Wool Blend,Bangladesh,2496400.0
10544,Front of Store,True,1413,BELTED GATHERED WAIST KNIT SWEATER CHARCOAL,1413.0,jackets,WOMAN,Winter,Wool,Pakistan,1996569.0
10545,Front of Store,True,1623,CROPPED STRIPED KNIT SWEATER BROWN,1623.0,t-shirts,WOMAN,Winter,Acrylic,Cambodia,2634129.0
10546,Front of Store,True,821,WOOL AND CASHMERE BLEND RIB SWEATER TAUPE,821.0,jackets,WOMAN,Autumn,Wool Blend,China,674041.0
10547,Aisle,True,1267,SLIM STRETCH POCKET OVERSHIRT BEIGE,1267.0,t-shirts,MAN,Autumn,Viscose,Pakistan,1605289.0
10548,Aisle,True,866,SLIM ALPACA AND WOOL BLEND TIE DYE KNIT SWEATER BLACK,866.0,jeans,WOMAN,Winter,Wool,Cambodia,749956.0
10549,Aisle,True,897,TEXTURED RETRO RUNNING SNEAKERS STONE,897.0,sweaters,WOMAN,Spring,Polyester,China,804609.0
10550,Aisle,True,822,PLEATED BAGGY BELTED JEANS OLIVE,822.0,jackets,WOMAN,Autumn,Denim,China,675684.0
10551,End-cap,True,783,TEXTURED SLIM FIT SUIT JACKET TAUPE,783.0,sweaters,WOMAN,Autumn,Polyester,Turkey,613089.0
10552,End-cap,True,832,PLEATED RIBBED KNIT T-SHIRT SAND,832.0,jackets,WOMAN,Spring,Linen,India,692224.0
10553,Aisle,True,1349,TEXTURED DENIM SHIRT STONE,1349.0,jackets,WOMAN,Autumn,Cotton,Bangladesh,1819801.0
10554,Aisle,True,1182,CHUNKY SNEAKERS BLACK,1182.0,jackets,MAN,Spring,Linen Blend,Spain,1397124.0
10555,Front of Store,True,977,TECHNICAL OVERSHIRT KHAKI,977.0,sweaters,WOMAN,Autumn,Wool,China,954529.0
10556,End-cap,True,1486,WOOL BLEND TEXTURED JACKET BURGUNDY,1486.0,t-shirts,WOMAN,Autumn,Wool,Argentina,2208196.0
10557,Aisle,True,1322,KNIT SWEATER WITH PEARLS KHAKI,1322.0,jackets,WOMAN,Autumn,Wool,Vietnam,1747684.0
10558,Aisle,True,877,TEXTURED KNIT PEARL SWEATER WHITE,877.0,sweaters,WOMAN,Autumn,Wool Blend,Cambodia,769129.0
10559,End-cap,True,1379,CROPPED OVERSHIRT BURGUNDY #3,1379.0,jackets,WOMAN,Spring,Cotton,Bangladesh,1901641.0
10560,End-cap,True,813,POCKET DENIM OVERSHIRT IVORY,813.0,jackets,WOMAN,Summer,Linen Blend,Cambodia,660969.0
10561,End-cap,True,1249,TAILORED TEXTURED WEAVE OVERSHIRT BEIGE,1249.0,sweaters,MAN,Spring,Cotton,Portugal,1560001.0
10562,Front of Store,True,782,QUILTED ACID WASH DENIM JACKET CHARCOAL,782.0,jackets,MAN,Autumn,Denim,Morocco,611524.0
10563,Aisle,True,1161,BELTED PATCH BOMBER JACKET CHARCOAL,1161.0,jackets,MAN,Autumn,Polyester,China,1347921.0
10564,End-cap,True,1392,OVERSIZED HIKING BOOTS,1392.0,shoes,MAN,Spring,Denim,Pakistan,1937664.0
10565,Front of Store,True,694,BELTED MULTIPIECE SNEAKERS OLIVE,694.0,t-shirts,MAN,Autumn,Viscose,Vietnam,481636.0
10566,Aisle,True,883,DENIM BOMBER JACKET CHARCOAL,883.0,jackets,WOMAN,Winter,Cotton,Cambodia,779689.0
10567,Front of Store,True,1408,RELAXED 100% FEATHER FILL PUFFER JACKET,1408.0,jackets,MAN,Winter,Wool,Bangladesh,1982464.0
10568,Aisle,True,858,STRUCTURED BAGGY BELTED JEANS BLACK,858.0,jackets,WOMAN,Spring,Cotton,Turkey,736164.0
10569,Aisle,True,1463,DOUBLE-BREASTED PAINT PRINT OVERSHIRT KHAKI,1463.0,jackets,WOMAN,Autumn,Wool Blend,China,2140369.0
10570,Aisle,True,834,STRETCH FOIL KNIT CROP SWEATER WHITE,834.0,sweaters,MAN,Autumn,Wool,Spain,695556.0
10571,Aisle,True,671,REGULAR ABSTRACT JACQUARD SWEATER KHAKI,671.0,t-shirts,WOMAN,Winter,Wool Blend,Bangladesh,450241.0
10572,End-cap,True,1321,UTILITY LEATHER BIKER JACKET SAND,1321.0,sweaters,WOMAN,Autumn,Cotton,Turkey,1745041.0
10573,End-cap,True,823,CROPPED SUEDE PENNY LOAFERS TAUPE,823.0,sweaters,MAN,Winter,Cotton,China,677329.0
10574,Front of Store,True,830,EMBROIDERED PATCH JACKET,830.0,jackets,MAN,Autumn,Viscose,Cambodia,688900.0
10575,Front of Store,True,925,PLEATED KNIT PEARL SWEATER BEIGE,925.0,jackets,WOMAN,Winter,Acrylic,Brazil,855625.0
10576,Front of Store,True,1351,STRETCH BASIC KNIT SWEATER,1351.0,shoes,WOMAN,Winter,Wool,Turkey,1825201.0
10577,End-cap,True,630,CONTRASTING PATCHES BOMBER JACKET GREY,630.0,jackets,MAN,Autumn,Cotton,Morocco,396900.0
10578,End-cap,True,752,QUILTED RETRO HIGH TOP SNEAKERS BLACK,752.0,jackets,WOMAN,Spring,Linen,Turkey,565504.0
10579,Aisle,True,895,LINEN ACID WASH DENIM JACKET BURGUNDY,895.0,jackets,MAN,Summer,Linen,Morocco,801025.0
10580,End-cap,True,1266,TAILORED ALPACA AND WOOL BLEND TIE DYE KNIT SWEATER BEIGE,1266.0,jackets,MAN,Autumn,Wool,Cambodia,1602756.0
10581,Front of Store,True,1281,RELAXED MULTICOLOR SNEAKERS,1281.0,jackets,MAN,Winter,Wool,Morocco,1640961.0
10582,Aisle,True,845,TEXTURED ACID WASH DENIM JACKET BEIGE,845.0,t-shirts,WOMAN,Autumn,Denim,China,714025.0
10583,Front of Store,True,1304,CHUNKY SNEAKERS STONE,1304.0,shoes,MAN,Spring,Cotton,Vietnam,1700416.0
10584,End-cap,True,1285,CROPPED TEXTURED WEAVE OVERSHIRT BROWN,1285.0,t-shirts,WOMAN,Autumn,Wool,China,1651225.0
10585,Aisle,True,886,SLIM JEWEL KNIT SWEATER BEIGE,886.0,jackets,WOMAN,Autumn,Wool,Spain,784996.0
10586,Aisle,True,893,STRETCH HOODED TECHNICAL JACKET WHITE,893.0,jackets,MAN,Autumn,Cotton,India,797449.0
10587,End-cap,True,1409,REGULAR KNIT V-NECK SWEATER NAVY,1409.0,jackets,MAN,Winter,Polyester,Turkey,1985281.0
10588,End-cap,True,871,KNIT RETRO RUNNING SNEAKERS TAUPE,871.0,jackets,WOMAN,Winter,Wool Blend,Turkey,758641.0
10589,Aisle,True,949,QUILTED STRETCH SUIT JACKET NAVY,949.0,jackets,WOMAN,Summer,Linen,Vietnam,900601.0
10590,Front of Store,True,1189,FAUX LEATHER BOMBER JACKET IVORY,1189.0,jeans,WOMAN,Spring,Polyester,China,1413721.0
10591,Aisle,True,848,EMBROIDERED KNIT PEARL SWEATER GREY,848.0,jackets,MAN,Autumn,Wool,China,719104.0
10592,Front of Store,True,992,OVERSIZED STRETCH SUIT JACKET ECRU,992.0,t-shirts,MAN,Winter,Polyester,Turkey,984064.0
10593,End-cap,True,770,TAILORED JACQUARD DENIM JACKET ECRU,770.0,sweaters,MAN,Spring,Cotton,Portugal,592900.0
10594,End-cap,True,820,SLIM FOIL KNIT CROP SWEATER BLACK,820.0,jackets,WOMAN,Summer,Wool Blend,China,672400.0
10595,Aisle,True,1339,BAGGY FIT JEANS LIMITED EDITION GREY #3,1339.0,shoes,WOMAN,Autumn,Wool,Morocco,1792921.0
10596,End-cap,True,1279,TEXTURED KNIT SWEATER WITH PEARLS BURGUNDY,1279.0,t-shirts,MAN,Autumn,Wool Blend,Morocco,1635841.0
10597,Aisle,True,883,ABSTRACT JACQUARD SWEATER CHARCOAL,883.0,jackets,WOMAN,Winter,Wool Blend,Pakistan,779689.0
10598,Front of Store,True,1137,BELTED BAGGY FIT JEANS LIMITED EDITION GREY,1137.0,jackets,WOMAN,Winter,Wool Blend,Pakistan,1292769.0
10599,Aisle,True,816,TEXTURED CROPPED TEXTURED JACKET SKY BLUE,816.0,sweaters,WOMAN,Autumn,Polyester,Brazil,665856.0
10600,Aisle,True,994,CROPPED FAUX SUEDE JACKET STONE,994.0,shoes,WOMAN,Winter,Viscose,Portugal,988036.0
10601,End-cap,True,1206,RIBBED DENIM SHIRT NAVY,1206.0,jackets,MAN,Autumn,Wool,China,1454436.0
10602,Front of Store,True,784,BOMBER JACKET GREY,784.0,jackets,MAN,Autumn,Wool Blend,Vietnam,614656.0
10603,End-cap,True,801,PLEATED CROPPED TEXTURED JACKET KHAKI,801.0,shoes,MAN,Autumn,Cotton,Turkey,641601.0
10604,End-cap,True,1121,LINEN CONTRAST JACQUARD JACKET BROWN,1121.0,shoes,WOMAN,Summer,Cotton,Turkey,1256641.0
10605,End-cap,True,1061,CROPPED GATHERED WAIST KNIT SWEATER CHARCOAL,1061.0,jackets,MAN,Summer,Cotton,Bangladesh,1125721.0
10606,Aisle,True,749,DOUBLE-BREASTED OVERSIZED BOMBER JACKET BEIGE,749.0,jeans,MAN,Autumn,Wool,Pakistan,561001.0
10607,Aisle,True,834,FINE KNIT SWEATER TAUPE,834.0,t-shirts,WOMAN,Autumn,Polyester,Pakistan,695556.0
10608,End-cap,True,803,KNIT TEXTURED JACKET BEIGE,803.0,jackets,MAN,Autumn,Wool,Portugal,644809.0
10609,End-cap,True,1231,REGULAR QUILTED STRUCTURED OVERSHIRT KHAKI,1231.0,jackets,WOMAN,Autumn,Polyester,Bangladesh,1515361.0
10610,End-cap,True,808,KNIT SWEATER WITH RIPS KHAKI,808.0,jackets,MAN,Autumn,Wool,Turkey,652864.0
10611,End-cap,True,820,PLEATED STRETCH SUIT JACKET SKY BLUE,820.0,jeans,MAN,Winter,Denim,India,672400.0
10612,Front of Store,True,870,RIB COLLAR JACKET NAVY,870.0,shoes,WOMAN,Autumn,Wool Blend,Turkey,756900.0
10613,End-cap,True,1305,POCKET OVERSHIRT ECRU,1305.0,shoes,WOMAN,Autumn,Viscose,Turkey,1703025.0
10614,Aisle,True,713,STRUCTURED STRIPED CROP KNIT SWEATER NAVY,713.0,sweaters,WOMAN,Autumn,Wool Blend,Turkey,508369.0
10615,Aisle,True,855,CROPPED PLEATED WIDE FIT JEANS CHARCOAL,855.0,jackets,WOMAN,Autumn,Denim,China,731025.0
10616,End-cap,True,1362,SLIM TEXTURED WEAVE OVERSHIRT OLIVE,1362.0,jeans,WOMAN,Spring,Cotton,China,1855044.0
10617,Front of Store,True,1505,QUILTED GEOMETRIC JACQUARD OVERSHIRT IVORY,1505.0,jackets,WOMAN,Autumn,Viscose,Turkey,2265025.0
10618,Aisle,True,1524,DOUBLE-BREASTED COLOR BLOCK PUFFER JACKET TAUPE,1524.0,jackets,WOMAN,Autumn,Wool Blend,Morocco,2322576.0
10619,Front of Store,True,1259,SATIN SUEDE STRAP SANDALS GREY,1259.0,jackets,WOMAN,Summer,Silk,Turkey,1585081.0
10620,End-cap,True,836,PLEATED BASIC PUFFER JACKET WHITE,836.0,jackets,MAN,Winter,Acrylic,India,698896.0
10621,Aisle,True,1593,KNIT BASIC KNIT SWEATER SKY BLUE,1593.0,jackets,MAN,Summer,Linen Blend,Vietnam,2537649.0
10622,Aisle,True,997,LINEN FAUX LEATHER PUFFER JACKET OLIVE,997.0,t-shirts,MAN,Summer,Cotton,Argentina,994009.0
10623,Aisle,True,1741,STRUCTURED WASHED EFFECT BOMBER JACKET,1741.0,jackets,WOMAN,Winter,Acrylic,Morocco,3031081.0
10624,Aisle,True,1636,RELAXED METAL BEAD KNIT SWEATER STONE,1636.0,jackets,WOMAN,Winter,Wool,Turkey,2676496.0
10625,Aisle,True,838,RIBBED POCKET DENIM OVERSHIRT SKY BLUE,838.0,t-shirts,MAN,Winter,Acrylic,Portugal,702244.0
10626,Aisle,True,836,CROPPED TEXTURED JACKET STONE,836.0,t-shirts,WOMAN,Spring,Viscose,Morocco,698896.0
10627,Front of Store,True,853,TEXTURED METAL BEAD KNIT SWEATER CHARCOAL,853.0,jackets,WOMAN,Autumn,Acrylic,China,727609.0
10628,Aisle,True,1350,REGULAR OVERSHIRT,1350.0,jackets,MAN,Winter,Cotton,Turkey,1822500.0
10629,Aisle,True,1361,CROPPED TEXTURED JACKET BURGUNDY,1361.0,t-shirts,WOMAN,Autumn,Viscose,Portugal,1852321.0
10630,Aisle,True,1084,COTTON OVERSHIRT WHITE,1084.0,shoes,WOMAN,Spring,Linen,India,1175056.0
10631,End-cap,True,963,REGULAR WOOL AND CASHMERE BLEND RIB SWEATER SKY BLUE,963.0,jackets,WOMAN,Winter,Acrylic,Cambodia,927369.0
10632,Aisle,True,1193,OVERSIZED CROPPED JACKET LIMITED EDITION SKY BLUE,1193.0,sweaters,MAN,Autumn,Wool Blend,India,1423249.0
10633,End-cap,True,1069,RELAXED CROPPED TEXTURED JACKET SKY BLUE,1069.0,jackets,WOMAN,Winter,Wool Blend,Bangladesh,1142761.0
10634,End-cap,True,853,LEATHER BIKER JACKET WHITE,853.0,jackets,WOMAN,Autumn,Acrylic,Turkey,727609.0
10635,Front of Store,True,789,DOUBLE-BREASTED VINTAGE EFFECT LEATHER BOMBER JACKET CHARCOAL,789.0,jackets,WOMAN,Spring,Viscose,Bangladesh,622521.0
10636,Aisle,True,926,RIBBED STRUCTURED TWILL OVERSHIRT SKY BLUE,926.0,shoes,WOMAN,Autumn,Polyester,Turkey,857476.0
